번호,병원명,주소,연락처,평일,토요일,공휴일/일요일
1,(의)장전의료재단 차수지병원,용인시 수지구 풍덕천로22번길 15,031-8014-5103,09:00~18:00,09:00~13:00,"공휴일,일요일 휴무"
2,(의)장전의료재단 차수지요양병원,용인시 수지구 풍덕천로22번길 15(5층),031-8014-5150,09:00~18:00,09:00~13:00,"공휴일,일요일 휴무"
3,가톨릭경희한의원,풍덕천동 1080-90 하나로프라자 4층,031-266-0898,9:30-19:00,09:30-16:00,공휴일(9:30~13:00)
4,강경태한의원,풍덕천동 택지개발2지구3007-1 거북상가 404,031-265-2840,9:30-18:00 14:30-18:00(목),09:30-16:00,공휴일(9:30~12:00)사정애
5,경태영내과의원,죽전동452,031-896-2051,9:00-19:00,09:00-14:00,휴진
6,경희맑은솔한의원,동천동 768-3 2층,031-263-6777,9:00-18:00(목-휴진),10:00-17:00,"일요일,공휴일(10:00-17:00)"
7,경희명한의원,상현동66-9,031-276-1075,9:30-18:30,09:30-16:00,휴진
8,경희본한의원,수지수 풍덕천동 택지개발2지구 3003-1,031-265-7588,9:30-19:00,09:30-17:00,공휴일(9:30~16:00)
9,경희봄빛한의원,풍덕천동 1080-3 중수빌딩 201호,031-265-1820,09:30~19:00,09:30~16:00,휴무
10,경희태동한의원,죽전동 852-5 201호,031-266-9993,9:30-20:00(수-휴진),09:30-17:00,공휴일(9:30~17:00)
11,경희토비한의원,상현동 854-14 원희캐슬프르자 A동031-305호,031-264-2264,9:00-19:00,09:00-17:00,공휴일(8:30~17:30)
12,경희푸른솔한의원,상현동66-2,031-265-7111,9:30-19:00,09:30-16:00,공휴일(9:30~16:00)사정에
13,고려가정의원,"상현동3-4,상현메디칼401호",031-264-1504,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
14,고은하늘성형외과,풍덕천동 712-3 수지프라자401,031-272-6001,9:30-18:30,09:30-15:30,휴진
15,곽정아산부인과의원,풍덕천동 1078(로얄스포츠304호),031-261-8383,9:30-18:00,09:30-13:00,휴진
16,금강한의원,상현동 244-2,031-262-8718,,,휴진
17,길이비인후과의원,풍덕천동 1080-6(2층),031-266-8428,9:00-19:00,09:00-17:00,공휴일(9:00~13:00)
18,김민종한의원,성복동 139 웰스톤갤러리 203호,031-265-1539,09:00~19:00,09:00~17:00,휴무
19,김병연소아과의원,"상현동 254-3 원희캐슬 B/302,303호",031-276-9913,9:00-19:00,09:00-16:00,일요일(9:00-13:00)
20,김상현마취통증의학과의원,풍덕천동29-9 두레빌딩 203-204호,031-262-7582,9:30-19:00,09:30-16:00,휴진
